decision_id,date,sku_id,location_type,location_id,recommended_order_qty,reorder_point,safety_stock_units,approved_qty,approver,override_flag,override_reason,decision_status
DEC-000706,2025-07-18,SKU-00013,Store,STR-08,30.0,36.4,21.8,30.0,System Auto-Replenishment,False,,Auto-approved
DEC-000707,2025-07-18,SKU-00012,Store,STR-08,14.0,16.2,9.7,14.0,System Auto-Replenishment,False,,Auto-approved
DEC-000708,2025-07-18,SKU-00024,Store,STR-08,17.0,23.6,14.1,17.0,System Auto-Replenishment,False,,Auto-approved
DEC-000709,2025-07-19,SKU-00004,Store,STR-01,56.0,59.9,36.0,56.0,System Auto-Replenishment,False,,Auto-approved
DEC-000710,2025-07-19,SKU-00015,Store,Multiple,135.0,96.6,57.9,135.0,System Auto-Replenishment,False,,Auto-approved
DEC-000711,2025-07-19,SKU-00008,Store,STR-01,45.0,59.2,35.5,45.0,System Auto-Replenishment,False,,Auto-approved
DEC-000712,2025-07-19,SKU-00010,Store,Multiple,77.0,42.4,25.4,77.0,System Auto-Replenishment,False,,Auto-approved
DEC-000713,2025-07-19,SKU-00022,Store,STR-01,35.0,42.0,25.2,35.0,System Auto-Replenishment,False,,Auto-approved
DEC-000714,2025-07-19,SKU-00018,Store,STR-02,65.0,83.0,49.8,65.0,System Auto-Replenishment,False,,Auto-approved
DEC-000715,2025-07-19,SKU-00014,Store,Multiple,133.0,101.9,61.2,133.0,System Auto-Replenishment,False,,Auto-approved
DEC-000716,2025-07-19,SKU-00016,Store,STR-02,19.0,25.2,15.1,19.0,System Auto-Replenishment,False,,Auto-approved
DEC-000717,2025-07-19,SKU-00024,Store,STR-02,48.0,58.9,35.3,48.0,System Auto-Replenishment,False,,Auto-approved
DEC-000718,2025-07-19,SKU-00013,Store,STR-02,69.0,84.5,50.7,69.0,System Auto-Replenishment,False,,Auto-approved
DEC-000719,2025-07-19,SKU-00022,Store,Multiple,73.0,40.7,24.4,73.0,System Auto-Replenishment,False,,Auto-approved
DEC-000720,2025-07-19,SKU-00018,Store,STR-03,53.0,67.8,40.7,53.0,System Auto-Replenishment,False,,Auto-approved
DEC-000721,2025-07-19,SKU-00013,Store,STR-03,89.0,112.8,67.7,89.0,System Auto-Replenishment,False,,Auto-approved
DEC-000722,2025-07-19,SKU-00004,Store,STR-03,24.0,27.8,16.7,24.0,System Auto-Replenishment,False,,Auto-approved
DEC-000723,2025-07-19,SKU-00006,Store,Multiple,75.0,43.5,26.1,75.0,System Auto-Replenishment,False,,Auto-approved
DEC-000724,2025-07-19,SKU-00007,Store,STR-03,72.0,95.1,57.1,72.0,System Auto-Replenishment,False,,Auto-approved
DEC-000725,2025-07-19,SKU-00010,Store,STR-03,30.0,34.3,20.6,30.0,System Auto-Replenishment,False,,Auto-approved
DEC-000726,2025-07-19,SKU-00013,Store,STR-04,52.0,69.4,41.7,52.0,System Auto-Replenishment,False,,Auto-approved
DEC-000727,2025-07-19,SKU-00021,Store,Multiple,29.0,21.4,12.8,29.0,System Auto-Replenishment,False,,Auto-approved
DEC-000728,2025-07-19,SKU-00022,Store,STR-04,24.6,27.6,16.6,24.6,System Auto-Replenishment,False,,Auto-approved
DEC-000729,2025-07-19,SKU-00002,Store,STR-05,89.0,102.8,61.7,89.0,System Auto-Replenishment,False,,Auto-approved
DEC-000730,2025-07-19,SKU-00019,Store,STR-05,27.0,38.1,22.9,27.0,System Auto-Replenishment,False,,Auto-approved
DEC-000731,2025-07-19,SKU-00011,Store,STR-05,26.0,28.4,17.0,26.0,System Auto-Replenishment,False,,Auto-approved
DEC-000732,2025-07-19,SKU-00016,Store,STR-05,20.0,22.6,13.5,20.0,System Auto-Replenishment,False,,Auto-approved
DEC-000733,2025-07-19,SKU-00011,Store,STR-06,17.0,19.4,11.6,17.0,System Auto-Replenishment,False,,Auto-approved
DEC-000734,2025-07-19,SKU-00015,Store,STR-06,26.0,37.1,22.3,26.0,System Auto-Replenishment,False,,Auto-approved
DEC-000735,2025-07-19,SKU-00004,Store,STR-06,20.0,28.2,16.9,20.0,System Auto-Replenishment,False,,Auto-approved
DEC-000736,2025-07-19,SKU-00005,Store,STR-06,14.0,13.7,8.2,13.3,Planner Review,True,Warehouse supply shortfall - partial fulfilment,Manual override
DEC-000737,2025-07-19,SKU-00003,Store,STR-06,58.0,59.2,35.5,58.0,System Auto-Replenishment,False,,Auto-approved
DEC-000738,2025-07-19,SKU-00002,Store,STR-06,46.0,56.2,33.7,46.0,System Auto-Replenishment,False,,Auto-approved
DEC-000739,2025-07-19,SKU-00009,Store,STR-06,39.0,49.8,29.9,39.0,System Auto-Replenishment,False,,Auto-approved
DEC-000740,2025-07-19,SKU-00014,Store,STR-07,35.0,48.2,28.9,35.0,System Auto-Replenishment,False,,Auto-approved
DEC-000741,2025-07-19,SKU-00012,Store,STR-07,39.0,49.1,29.5,23.4,Planner Review,True,Warehouse supply shortfall - partial fulfilment,Manual override
DEC-000742,2025-07-19,SKU-00017,Store,STR-07,81.0,86.2,51.7,81.0,System Auto-Replenishment,False,,Auto-approved
DEC-000743,2025-07-19,SKU-00009,Store,STR-08,22.0,29.0,17.4,22.0,System Auto-Replenishment,False,,Auto-approved
DEC-000744,2025-07-19,SKU-00020,Store,STR-08,7.0,9.6,5.7,7.0,System Auto-Replenishment,False,,Auto-approved
DEC-000745,2025-07-19,SKU-00011,Store,STR-08,8.0,10.2,6.1,8.0,System Auto-Replenishment,False,,Auto-approved
DEC-000746,2025-07-19,SKU-00010,Store,STR-08,12.0,15.4,9.2,12.0,System Auto-Replenishment,False,,Auto-approved
DEC-000747,2025-07-20,SKU-00003,Store,Multiple,106.0,51.8,31.1,106.0,System Auto-Replenishment,False,,Auto-approved
DEC-000748,2025-07-20,SKU-00023,Store,STR-01,67.0,86.7,52.0,67.0,System Auto-Replenishment,False,,Auto-approved
DEC-000749,2025-07-20,SKU-00020,Store,Multiple,76.0,37.1,22.3,76.0,System Auto-Replenishment,False,,Auto-approved
DEC-000750,2025-07-20,SKU-00015,Store,STR-02,60.0,75.0,45.0,60.0,System Auto-Replenishment,False,,Auto-approved
DEC-000751,2025-07-20,SKU-00008,Store,STR-02,62.0,78.5,47.1,62.0,System Auto-Replenishment,False,,Auto-approved
DEC-000752,2025-07-20,SKU-00023,Store,STR-02,61.0,87.0,52.2,61.0,System Auto-Replenishment,False,,Auto-approved
DEC-000753,2025-07-20,SKU-00019,Store,STR-03,93.0,112.1,67.3,93.0,System Auto-Replenishment,False,,Auto-approved
DEC-000754,2025-07-20,SKU-00008,Store,STR-03,115.0,123.4,74.0,115.0,System Auto-Replenishment,False,,Auto-approved
DEC-000755,2025-07-20,SKU-00016,Store,Multiple,63.0,50.0,30.0,63.0,System Auto-Replenishment,False,,Auto-approved
DEC-000756,2025-07-20,SKU-00005,Store,STR-03,15.0,20.2,12.1,15.0,System Auto-Replenishment,False,,Auto-approved
DEC-000757,2025-07-20,SKU-00020,Store,STR-03,38.0,41.9,25.1,38.0,System Auto-Replenishment,False,,Auto-approved
DEC-000758,2025-07-20,SKU-00015,Store,STR-03,54.0,59.6,35.7,54.0,System Auto-Replenishment,False,,Auto-approved
DEC-000759,2025-07-20,SKU-00009,Store,STR-03,48.0,59.5,35.7,48.0,System Auto-Replenishment,False,,Auto-approved
DEC-000760,2025-07-20,SKU-00023,Store,STR-03,47.0,58.9,35.4,47.0,System Auto-Replenishment,False,,Auto-approved
DEC-000761,2025-07-20,SKU-00015,Store,Multiple,63.0,29.0,17.4,63.0,System Auto-Replenishment,False,,Auto-approved
DEC-000762,2025-07-20,SKU-00004,Store,Multiple,21.0,15.5,9.3,21.0,System Auto-Replenishment,False,,Auto-approved
DEC-000763,2025-07-20,SKU-00011,Store,STR-04,11.0,13.3,8.0,11.0,System Auto-Replenishment,False,,Auto-approved
DEC-000764,2025-07-20,SKU-00007,Store,STR-04,42.0,56.0,33.6,42.0,System Auto-Replenishment,False,,Auto-approved
DEC-000765,2025-07-20,SKU-00010,Store,STR-04,22.0,29.3,17.6,22.0,System Auto-Replenishment,False,,Auto-approved
DEC-000766,2025-07-20,SKU-00009,Store,STR-04,50.0,63.0,37.8,50.0,System Auto-Replenishment,False,,Auto-approved
DEC-000767,2025-07-20,SKU-00012,Store,STR-04,19.0,19.0,11.4,19.0,System Auto-Replenishment,False,,Auto-approved
DEC-000768,2025-07-20,SKU-00017,Store,STR-06,65.0,78.4,47.1,65.0,System Auto-Replenishment,False,,Auto-approved
DEC-000769,2025-07-20,SKU-00020,Store,STR-06,21.0,21.2,12.7,21.0,System Auto-Replenishment,False,,Auto-approved
DEC-000770,2025-07-20,SKU-00018,Store,STR-06,38.0,40.5,24.3,38.0,System Auto-Replenishment,False,,Auto-approved
DEC-000771,2025-07-20,SKU-00001,Store,STR-06,53.0,72.8,43.7,53.0,System Auto-Replenishment,False,,Auto-approved
DEC-000772,2025-07-20,SKU-00022,Store,STR-07,34.0,34.9,21.0,34.0,System Auto-Replenishment,False,,Auto-approved
DEC-000773,2025-07-20,SKU-00013,Store,STR-07,89.0,106.1,63.7,89.0,System Auto-Replenishment,False,,Auto-approved
DEC-000774,2025-07-20,SKU-00021,Store,STR-07,16.0,22.8,13.7,16.0,System Auto-Replenishment,False,,Auto-approved
DEC-000775,2025-07-20,SKU-00002,Store,STR-07,49.0,57.8,34.7,49.0,System Auto-Replenishment,False,,Auto-approved
DEC-000776,2025-07-20,SKU-00006,Store,STR-08,10.0,13.8,8.3,10.0,System Auto-Replenishment,False,,Auto-approved
DEC-000777,2025-07-20,SKU-00001,Store,STR-08,31.0,34.8,20.9,31.0,System Auto-Replenishment,False,,Auto-approved
DEC-000778,2025-07-20,SKU-00019,Store,STR-08,18.0,22.9,13.8,18.0,System Auto-Replenishment,False,,Auto-approved
DEC-000779,2025-07-20,SKU-00017,Store,STR-08,38.0,41.4,24.8,38.0,System Auto-Replenishment,False,,Auto-approved
DEC-000780,2025-07-20,SKU-00002,Store,STR-08,17.0,21.7,13.0,17.0,System Auto-Replenishment,False,,Auto-approved
DEC-000781,2025-07-21,SKU-00007,Store,STR-01,111.0,144.1,86.4,111.0,System Auto-Replenishment,False,,Auto-approved
DEC-000782,2025-07-21,SKU-00001,Store,STR-01,50.0,68.3,41.0,50.0,System Auto-Replenishment,False,,Auto-approved
DEC-000783,2025-07-21,SKU-00024,Store,STR-01,68.0,83.0,49.8,68.0,System Auto-Replenishment,False,,Auto-approved
DEC-000784,2025-07-21,SKU-00009,Store,STR-01,50.0,58.8,35.3,50.0,System Auto-Replenishment,False,,Auto-approved
DEC-000785,2025-07-21,SKU-00021,Store,STR-01,13.0,18.2,10.9,13.0,System Auto-Replenishment,False,,Auto-approved
DEC-000786,2025-07-21,SKU-00013,Store,STR-01,52.0,69.3,41.6,52.0,System Auto-Replenishment,False,,Auto-approved
DEC-000787,2025-07-21,SKU-00020,Store,STR-02,41.0,47.9,28.7,41.0,System Auto-Replenishment,False,,Auto-approved
DEC-000788,2025-07-21,SKU-00002,Store,STR-02,108.0,119.1,71.5,108.0,System Auto-Replenishment,False,,Auto-approved
DEC-000789,2025-07-21,SKU-00011,Store,STR-02,14.0,18.1,10.8,14.0,System Auto-Replenishment,False,,Auto-approved
DEC-000790,2025-07-21,SKU-00003,Store,STR-02,62.0,82.3,49.4,62.0,System Auto-Replenishment,False,,Auto-approved
DEC-000791,2025-07-21,SKU-00016,Store,STR-02,18.0,25.2,15.1,18.0,System Auto-Replenishment,False,,Auto-approved
DEC-000792,2025-07-21,SKU-00009,Store,STR-02,77.0,95.8,57.5,77.0,System Auto-Replenishment,False,,Auto-approved
DEC-000793,2025-07-21,SKU-00019,Store,Multiple,96.0,69.7,41.8,96.0,System Auto-Replenishment,False,,Auto-approved
DEC-000794,2025-07-21,SKU-00007,Store,STR-02,89.0,111.9,67.1,89.0,System Auto-Replenishment,False,,Auto-approved
DEC-000795,2025-07-21,SKU-00001,Store,STR-03,74.0,95.6,57.4,74.0,System Auto-Replenishment,False,,Auto-approved
DEC-000796,2025-07-21,SKU-00017,Store,STR-03,105.0,115.9,69.5,105.0,System Auto-Replenishment,False,,Auto-approved
DEC-000797,2025-07-21,SKU-00002,Store,STR-03,55.0,62.1,37.3,55.0,System Auto-Replenishment,False,,Auto-approved
DEC-000798,2025-07-21,SKU-00003,Store,STR-04,37.0,43.5,26.1,37.0,System Auto-Replenishment,False,,Auto-approved
DEC-000799,2025-07-21,SKU-00014,Store,STR-04,26.0,35.3,21.2,26.0,System Auto-Replenishment,False,,Auto-approved
DEC-000800,2025-07-21,SKU-00020,Store,STR-04,26.0,28.0,16.8,26.0,System Auto-Replenishment,False,,Auto-approved
DEC-000801,2025-07-21,SKU-00018,Store,Multiple,79.0,80.5,48.3,79.0,System Auto-Replenishment,False,,Auto-approved
DEC-000802,2025-07-21,SKU-00006,Store,STR-04,31.0,35.4,21.3,31.0,System Auto-Replenishment,False,,Auto-approved
DEC-000803,2025-07-21,SKU-00017,Store,STR-04,41.0,53.7,32.2,41.0,System Auto-Replenishment,False,,Auto-approved
DEC-000804,2025-07-21,SKU-00005,Store,STR-05,17.0,20.6,12.4,17.0,System Auto-Replenishment,False,,Auto-approved
DEC-000805,2025-07-21,SKU-00014,Store,STR-05,53.0,70.2,42.1,53.0,System Auto-Replenishment,False,,Auto-approved
DEC-000806,2025-07-21,SKU-00008,Store,STR-05,70.0,93.1,55.8,70.0,System Auto-Replenishment,False,,Auto-approved
DEC-000807,2025-07-21,SKU-00006,Store,STR-05,36.0,43.4,26.1,36.0,System Auto-Replenishment,False,,Auto-approved
DEC-000808,2025-07-21,SKU-00015,Store,STR-06,27.0,37.1,22.3,27.0,System Auto-Replenishment,False,,Auto-approved
DEC-000809,2025-07-21,SKU-00006,Store,STR-06,29.0,29.1,17.5,29.0,System Auto-Replenishment,False,,Auto-approved
DEC-000810,2025-07-21,SKU-00024,Store,STR-06,39.0,51.2,30.7,39.0,System Auto-Replenishment,False,,Auto-approved
DEC-000811,2025-07-21,SKU-00021,Store,STR-06,12.0,15.7,9.4,12.0,System Auto-Replenishment,False,,Auto-approved
DEC-000812,2025-07-21,SKU-00005,Store,STR-07,23.0,24.8,14.9,23.0,System Auto-Replenishment,False,,Auto-approved
DEC-000813,2025-07-21,SKU-00012,Store,STR-07,42.6,49.1,29.5,0.0,Planner Review,True,Warehouse supply shortfall - partial fulfilment,Manual override
DEC-000814,2025-07-21,SKU-00019,Store,STR-07,39.0,51.2,30.7,39.0,System Auto-Replenishment,False,,Auto-approved
DEC-000815,2025-07-21,SKU-00008,Store,STR-07,59.0,77.1,46.2,59.0,System Auto-Replenishment,False,,Auto-approved
DEC-000816,2025-07-21,SKU-00006,Store,STR-07,33.0,46.3,27.8,33.0,System Auto-Replenishment,False,,Auto-approved
DEC-000817,2025-07-21,SKU-00020,Store,STR-07,39.0,49.1,29.5,39.0,System Auto-Replenishment,False,,Auto-approved
DEC-000818,2025-07-21,SKU-00003,Store,STR-07,59.0,70.5,42.3,59.0,System Auto-Replenishment,False,,Auto-approved
DEC-000819,2025-07-21,SKU-00023,Store,STR-08,38.0,47.3,28.4,38.0,System Auto-Replenishment,False,,Auto-approved
DEC-000820,2025-07-21,SKU-00010,Store,STR-08,11.0,15.4,9.2,11.0,System Auto-Replenishment,False,,Auto-approved
DEC-000821,2025-07-21,SKU-00012,Store,STR-08,14.0,16.2,9.7,14.0,System Auto-Replenishment,False,,Auto-approved
DEC-000822,2025-07-22,SKU-00004,Store,Multiple,69.0,59.9,36.0,69.0,System Auto-Replenishment,False,,Auto-approved
DEC-000823,2025-07-22,SKU-00015,Store,Multiple,149.0,96.6,57.9,149.0,System Auto-Replenishment,False,,Auto-approved
DEC-000824,2025-07-22,SKU-00014,Store,STR-01,59.0,70.7,42.4,59.0,System Auto-Replenishment,False,,Auto-approved
DEC-000825,2025-07-22,SKU-00019,Store,Multiple,93.0,86.6,52.0,93.0,System Auto-Replenishment,False,,Auto-approved
DEC-000826,2025-07-22,SKU-00018,Store,STR-01,78.0,107.7,64.6,78.0,System Auto-Replenishment,False,,Auto-approved
DEC-000827,2025-07-22,SKU-00011,Store,Multiple,38.0,15.8,9.5,38.0,System Auto-Replenishment,False,,Auto-approved
DEC-000828,2025-07-22,SKU-00012,Store,STR-02,22.0,22.2,13.3,22.0,System Auto-Replenishment,False,,Auto-approved
DEC-000829,2025-07-22,SKU-00006,Store,STR-02,38.0,38.5,23.1,38.0,System Auto-Replenishment,False,,Auto-approved
DEC-000830,2025-07-22,SKU-00004,Store,Multiple,43.0,27.8,16.7,43.0,System Auto-Replenishment,False,,Auto-approved
DEC-000831,2025-07-22,SKU-00006,Store,STR-03,34.0,43.5,26.1,34.0,System Auto-Replenishment,False,,Auto-approved
DEC-000832,2025-07-22,SKU-00011,Store,STR-03,27.0,28.6,17.2,27.0,System Auto-Replenishment,False,,Auto-approved
DEC-000833,2025-07-22,SKU-00021,Store,STR-04,18.0,21.4,12.8,18.0,System Auto-Replenishment,False,,Auto-approved
DEC-000834,2025-07-22,SKU-00024,Store,STR-05,69.0,81.3,48.8,69.0,System Auto-Replenishment,False,,Auto-approved
DEC-000835,2025-07-22,SKU-00021,Store,STR-05,27.0,29.8,17.9,27.0,System Auto-Replenishment,False,,Auto-approved
DEC-000836,2025-07-22,SKU-00001,Store,STR-05,53.0,71.6,43.0,53.0,System Auto-Replenishment,False,,Auto-approved
DEC-000837,2025-07-22,SKU-00016,Store,STR-05,16.0,22.6,13.5,16.0,System Auto-Replenishment,False,,Auto-approved
DEC-000838,2025-07-22,SKU-00017,Store,STR-05,62.0,80.7,48.4,62.0,System Auto-Replenishment,False,,Auto-approved
DEC-000839,2025-07-22,SKU-00010,Store,STR-06,21.0,27.6,16.5,21.0,System Auto-Replenishment,False,,Auto-approved
DEC-000840,2025-07-22,SKU-00009,Store,STR-06,40.0,49.8,29.9,40.0,System Auto-Replenishment,False,,Auto-approved
DEC-000841,2025-07-22,SKU-00012,Store,STR-07,54.6,49.1,29.5,54.6,System Auto-Replenishment,False,,Auto-approved
DEC-000842,2025-07-22,SKU-00010,Store,STR-07,28.0,34.5,20.7,28.0,System Auto-Replenishment,False,,Auto-approved
DEC-000843,2025-07-22,SKU-00018,Store,STR-07,58.0,82.1,49.2,58.0,System Auto-Replenishment,False,,Auto-approved
DEC-000844,2025-07-22,SKU-00009,Store,STR-08,21.0,29.0,17.4,21.0,System Auto-Replenishment,False,,Auto-approved
DEC-000845,2025-07-22,SKU-00014,Store,STR-08,23.0,32.2,19.3,23.0,System Auto-Replenishment,False,,Auto-approved
DEC-000846,2025-07-22,SKU-00011,Store,STR-08,8.0,10.2,6.1,8.0,System Auto-Replenishment,False,,Auto-approved
DEC-000847,2025-07-22,SKU-00024,Store,STR-08,17.0,23.6,14.1,17.0,System Auto-Replenishment,False,,Auto-approved
DEC-000848,2025-07-23,SKU-00008,Store,STR-01,43.0,59.2,35.5,43.0,System Auto-Replenishment,False,,Auto-approved
DEC-000849,2025-07-23,SKU-00010,Store,Multiple,74.0,42.4,25.4,74.0,System Auto-Replenishment,False,,Auto-approved
DEC-000850,2025-07-23,SKU-00002,Store,STR-01,104.0,123.0,73.8,104.0,System Auto-Replenishment,False,,Auto-approved
DEC-000851,2025-07-23,SKU-00022,Store,STR-01,31.0,42.0,25.2,31.0,System Auto-Replenishment,False,,Auto-approved
DEC-000852,2025-07-23,SKU-00010,Store,STR-02,21.0,24.2,14.5,21.0,System Auto-Replenishment,False,,Auto-approved
DEC-000853,2025-07-23,SKU-00015,Store,STR-02,59.0,75.0,45.0,59.0,System Auto-Replenishment,False,,Auto-approved
DEC-000854,2025-07-23,SKU-00022,Store,Multiple,81.0,40.7,24.4,81.0,System Auto-Replenishment,False,,Auto-approved
DEC-000855,2025-07-23,SKU-00018,Store,STR-03,51.0,67.8,40.7,51.0,System Auto-Replenishment,False,,Auto-approved
DEC-000856,2025-07-23,SKU-00016,Store,Multiple,58.0,50.0,30.0,58.0,System Auto-Replenishment,False,,Auto-approved
DEC-000857,2025-07-23,SKU-00021,Store,Multiple,32.0,20.4,12.2,32.0,System Auto-Replenishment,False,,Auto-approved
DEC-000858,2025-07-23,SKU-00015,Store,STR-03,54.0,59.6,35.7,54.0,System Auto-Replenishment,False,,Auto-approved
DEC-000859,2025-07-23,SKU-00009,Store,STR-03,42.0,59.5,35.7,42.0,System Auto-Replenishment,False,,Auto-approved
DEC-000860,2025-07-23,SKU-00010,Store,STR-03,30.0,34.3,20.6,30.0,System Auto-Replenishment,False,,Auto-approved
DEC-000861,2025-07-23,SKU-00001,Store,STR-04,50.0,60.5,36.3,50.0,System Auto-Replenishment,False,,Auto-approved
DEC-000862,2025-07-23,SKU-00022,Store,STR-04,24.0,27.6,16.6,24.0,System Auto-Replenishment,False,,Auto-approved
DEC-000863,2025-07-23,SKU-00016,Store,STR-04,14.0,16.6,10.0,14.0,System Auto-Replenishment,False,,Auto-approved
DEC-000864,2025-07-23,SKU-00011,Store,STR-06,18.0,19.4,11.6,18.0,System Auto-Replenishment,False,,Auto-approved
DEC-000865,2025-07-23,SKU-00005,Store,STR-06,9.7,13.7,8.2,9.7,System Auto-Replenishment,False,,Auto-approved
DEC-000866,2025-07-23,SKU-00020,Store,STR-06,15.0,21.2,12.7,15.0,System Auto-Replenishment,False,,Auto-approved
DEC-000867,2025-07-23,SKU-00003,Store,STR-06,50.0,59.2,35.5,50.0,System Auto-Replenishment,False,,Auto-approved
DEC-000868,2025-07-23,SKU-00002,Store,STR-06,47.0,56.2,33.7,47.0,System Auto-Replenishment,False,,Auto-approved
DEC-000869,2025-07-23,SKU-00014,Store,STR-07,37.0,48.2,28.9,37.0,System Auto-Replenishment,False,,Auto-approved
DEC-000870,2025-07-23,SKU-00022,Store,STR-07,27.0,34.9,21.0,27.0,System Auto-Replenishment,False,,Auto-approved
DEC-000871,2025-07-23,SKU-00007,Store,STR-07,68.0,86.7,52.0,68.0,System Auto-Replenishment,False,,Auto-approved
DEC-000872,2025-07-23,SKU-00023,Store,STR-07,76.0,102.8,61.7,76.0,System Auto-Replenishment,False,,Auto-approved
DEC-000873,2025-07-23,SKU-00017,Store,STR-07,72.0,86.2,51.7,72.0,System Auto-Replenishment,False,,Auto-approved
DEC-000874,2025-07-23,SKU-00020,Store,STR-08,8.0,9.6,5.7,8.0,System Auto-Replenishment,False,,Auto-approved
DEC-000875,2025-07-23,SKU-00021,Store,STR-08,11.0,14.2,8.5,11.0,System Auto-Replenishment,False,,Auto-approved
DEC-000876,2025-07-23,SKU-00019,Store,STR-08,17.0,22.9,13.8,9.1,Planner Review,True,Warehouse supply shortfall - partial fulfilment,Manual override
DEC-000877,2025-07-23,SKU-00015,Store,STR-08,30.0,36.2,21.7,30.0,System Auto-Replenishment,False,,Auto-approved
DEC-000878,2025-07-24,SKU-00003,Store,Multiple,98.0,51.8,31.1,98.0,System Auto-Replenishment,False,,Auto-approved
DEC-000879,2025-07-24,SKU-00020,Store,STR-01,28.0,37.1,22.3,28.0,System Auto-Replenishment,False,,Auto-approved
DEC-000880,2025-07-24,SKU-00018,Store,Multiple,102.0,83.0,49.8,102.0,System Auto-Replenishment,False,,Auto-approved
DEC-000881,2025-07-24,SKU-00014,Store,Multiple,127.0,101.9,61.2,127.0,System Auto-Replenishment,False,,Auto-approved
DEC-000882,2025-07-24,SKU-00024,Store,Multiple,89.0,58.9,35.3,89.0,System Auto-Replenishment,False,,Auto-approved
DEC-000883,2025-07-24,SKU-00019,Store,Multiple,142.0,112.1,67.3,142.0,System Auto-Replenishment,False,,Auto-approved
DEC-000884,2025-07-24,SKU-00005,Store,STR-03,15.0,20.2,12.1,15.0,System Auto-Replenishment,False,,Auto-approved
DEC-000885,2025-07-24,SKU-00020,Store,STR-03,35.0,41.9,25.1,35.0,System Auto-Replenishment,False,,Auto-approved
DEC-000886,2025-07-24,SKU-00015,Store,STR-04,22.0,29.0,17.4,22.0,System Auto-Replenishment,False,,Auto-approved
DEC-000887,2025-07-24,SKU-00013,Store,Multiple,82.0,69.4,41.7,82.0,System Auto-Replenishment,False,,Auto-approved
DEC-000888,2025-07-24,SKU-00011,Store,STR-04,10.0,13.3,8.0,10.0,System Auto-Replenishment,False,,Auto-approved
DEC-000889,2025-07-24,SKU-00010,Store,STR-04,23.0,29.3,17.6,23.0,System Auto-Replenishment,False,,Auto-approved
DEC-000890,2025-07-24,SKU-00006,Store,Multiple,48.0,35.4,21.3,48.0,System Auto-Replenishment,False,,Auto-approved
DEC-000891,2025-07-24,SKU-00009,Store,STR-04,56.0,63.0,37.8,56.0,System Auto-Replenishment,False,,Auto-approved
DEC-000892,2025-07-24,SKU-00005,Store,STR-04,12.0,13.8,8.3,12.0,System Auto-Replenishment,False,,Auto-approved
DEC-000893,2025-07-24,SKU-00002,Store,STR-05,80.0,102.8,61.7,80.0,System Auto-Replenishment,False,,Auto-approved
DEC-000894,2025-07-24,SKU-00018,Store,STR-05,38.0,47.4,28.4,38.0,System Auto-Replenishment,False,,Auto-approved
DEC-000895,2025-07-24,SKU-00006,Store,STR-05,31.0,43.4,26.1,31.0,System Auto-Replenishment,False,,Auto-approved
DEC-000896,2025-07-24,SKU-00017,Store,STR-06,61.0,78.4,47.1,61.0,System Auto-Replenishment,False,,Auto-approved
DEC-000897,2025-07-24,SKU-00006,Store,STR-06,21.0,29.1,17.5,21.0,System Auto-Replenishment,False,,Auto-approved
DEC-000898,2025-07-24,SKU-00004,Store,STR-06,22.0,28.2,16.9,22.0,System Auto-Replenishment,False,,Auto-approved
DEC-000899,2025-07-24,SKU-00004,Store,STR-08,6.0,7.3,4.4,6.0,System Auto-Replenishment,False,,Auto-approved
DEC-000900,2025-07-24,SKU-00012,Store,STR-08,19.0,16.2,9.7,19.0,System Auto-Replenishment,False,,Auto-approved
DEC-000901,2025-07-25,SKU-00009,Store,STR-01,51.0,58.8,35.3,51.0,System Auto-Replenishment,False,,Auto-approved
DEC-000902,2025-07-25,SKU-00019,Store,STR-01,61.0,86.6,52.0,61.0,System Auto-Replenishment,False,,Auto-approved
DEC-000903,2025-07-25,SKU-00011,Store,STR-01,14.0,15.8,9.5,14.0,System Auto-Replenishment,False,,Auto-approved
DEC-000904,2025-07-25,SKU-00020,Store,STR-02,37.0,47.9,28.7,37.0,System Auto-Replenishment,False,,Auto-approved
DEC-000905,2025-07-25,SKU-00011,Store,STR-02,15.0,18.1,10.8,15.0,System Auto-Replenishment,False,,Auto-approved
DEC-000906,2025-07-25,SKU-00003,Store,STR-02,78.0,82.3,49.4,78.0,System Auto-Replenishment,False,,Auto-approved
DEC-000907,2025-07-25,SKU-00012,Store,STR-02,20.0,22.2,13.3,20.0,System Auto-Replenishment,False,,Auto-approved
DEC-000908,2025-07-25,SKU-00016,Store,STR-02,19.0,25.2,15.1,19.0,System Auto-Replenishment,False,,Auto-approved
DEC-000909,2025-07-25,SKU-00009,Store,STR-02,75.0,95.8,57.5,75.0,System Auto-Replenishment,False,,Auto-approved
DEC-000910,2025-07-25,SKU-00019,Store,Multiple,89.0,69.7,41.8,89.0,System Auto-Replenishment,False,,Auto-approved
DEC-000911,2025-07-25,SKU-00006,Store,STR-02,33.0,38.5,23.1,33.0,System Auto-Replenishment,False,,Auto-approved
DEC-000912,2025-07-25,SKU-00008,Store,STR-03,107.0,123.4,74.0,107.0,System Auto-Replenishment,False,,Auto-approved
DEC-000913,2025-07-25,SKU-00013,Store,Multiple,186.0,112.8,67.7,186.0,System Auto-Replenishment,False,,Auto-approved
DEC-000914,2025-07-25,SKU-00023,Store,STR-03,42.0,58.9,35.4,42.0,System Auto-Replenishment,False,,Auto-approved
DEC-000915,2025-07-25,SKU-00002,Store,STR-03,53.0,62.1,37.3,53.0,System Auto-Replenishment,False,,Auto-approved
